itemid,hotelid,hotelname,features
1,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=coffeetea maker|amen=daily newspaper|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=on-demand movies|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=trouser press|amen=wake-up service
2,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=coffeetea maker|amen=daily newspaper|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=smoke detector|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=trouser press|amen=wake-up service
3,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=alarm clock|amen=bathrobes|amen=closet|amen=coffeetea maker|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=on-demand movies|amen=satellitecable channels|amen=seating area|amen=shower|amen=smoke detector|amen=sofa|amen=soundproofing|amen=telephone|amen=toiletries|amen=towels|amen=trouser press|amen=wake-up service
4,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=bathrobes|amen=blackout curtains|amen=closet|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=heating|amen=in-room safe box|amen=ironing facilities|amen=laptop safe box|amen=linens|amen=mini bar|amen=mirror|amen=satellitecable channels|amen=seating area|amen=shower|amen=slippers|amen=smoke detector|amen=telephone|amen=toiletries|amen=towels|amen=wake-up service
5,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
6,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
7,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
8,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
9,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=blackout curtains|amen=coffeetea maker|amen=daily housekeeping|amen=dart board|amen=desk|amen=free wi-fi in all rooms|amen=hair dryer|amen=in-room safe box|amen=mini bar|amen=satellitecable channels|amen=shower|amen=slippers|amen=toiletries
10,31,The Harmonie Vienna  BW Premier Collection,ptype=hotels|star=4|amen=air conditioning|amen=free wi-fi in all rooms|amen=in-room safe box|amen=shower|amen=tv
